Location,motorised,non_motorised
13_Cam32_3,0.073971136,0.049236723
13_Cam33_1,-1.690957737,1.21627946
13_Cam33_2,2.818098649,0.665745697
13_Cam33_3,-1.103208529,-1.529874646
13_Cam34_1,-2.548719458,-1.453575681
13_Cam34_2,3.274484111,2.243295077
13_Cam34_3,0.599499285,0.693345841
13_Cam35_1,0.246944252,-0.936994298
13_Cam35_2,2.99728818,0.106826301
13_Cam35_3,0.923896661,-0.731560283
13_Cam36_1,-2.322054274,4.568029858
13_Cam36_2,-2.609015462,-1.501260203
13_Cam36_3,-1.11125007,-0.506025895
13_Cam37_1,-1.700573777,-0.795300362
13_Cam37_2,-0.299802291,-0.063795962
13_Cam37_3,-1.541544227,-0.738983845
13_Cam38_1,-2.588634843,-1.498849302
13_Cam38_2,4.21773352,-0.855648204
13_Cam38_3,1.691695493,1.473607508
13_Cam39_1,2.67562818,3.382086935
13_Cam39_2,3.752476665,2.678500323
13_Cam39_3,-1.023618284,4.690662172
13_Cam40_1,2.572101076,4.355895662
13_Cam40_2,3.412897751,2.449016167
13_Cam40_3,0.124508714,-0.844375453
13_Cam41_1,-2.483390253,3.869851102
13_Cam42_1,-2.81202148,2.278227958
13_Cam43_2,0.199788929,1.387669609
13_Cam44_1,1.82652619,2.475579646
13_Cam44_2,-0.092058495,0.944942653
